id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9892313001734433,0.0,0.3441243971936123
A00037848,0.9872555730825322,0.0,0.3782919954303592
A00058952,0.9899468062413787,0.0,0.34042055390908615
A00033747,0.9904373305049423,0.0,0.2448878076968688
A00060430,0.9891583459317023,0.0,0.34035532280151987
A00040628,0.9910382226800823,0.0,0.23430880134295107
A00059845,0.9895154573514281,0.0,0.28563449702657934
A00028185,0.9852569302696348,0.0,0.44159393675290914
A00037511,0.9905795828736879,0.0,0.3979815661907181
A00057372,0.9876531584687192,0.0,0.5998794598867169
A00062282,0.9882260906534357,0.0,0.48359561943659524
A00061711,0.9883865785588648,0.0,0.37755762914347213
A00057444,0.9877306105492241,0.0,0.3715809294509204
A00055446,0.9893644702310281,0.0,0.3287408887451009
A00040193,0.9908094528465272,0.0,0.24149485714401986
A00062942,0.9908314357658341,0.0,0.285087674620513
A00050940,0.988480040076187,0.0,0.3993897186314252
A00056452,0.9900034688571393,0.0,0.38012728237510135
A00040623,0.9879101728668385,0.0,0.3617427145624963
A00061806,0.9848651754859028,0.0,0.4728416717163412
A00059344,0.9880326363916965,0.0,0.4040807579554084
A00063368,0.9846695046842149,0.0,0.4606728826263846
A00055763,0.987093461662207,0.0,0.35645638594504614
A00043299,0.9908335561889866,0.0,0.24595065953392778
A00053455,0.9912438413803485,0.0,0.2515915509171587
Mean,0.9887421281510396,0.0,0.36113558244140925
Std,0.0018739403357536744,0.0,0.08704925328861651
25th Percentile,0.9877306105492241,0.0,0.28563449702657934
50th Percentile,0.9891583459317023,0.0,0.3617427145624963
75th Percentile,0.9904373305049423,0.0,0.3993897186314252
