id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9868463885194587,0.0,0.5663400540194845
A00037848,0.9871177258612935,0.0,0.4549225647036611
A00058952,0.989290116824808,0.0,0.5290927041454051
A00033747,0.9910912240722929,0.0,0.24931144297462193
A00060430,0.9908062291186579,0.0,0.27367254909279476
A00040628,0.99113815065486,0.0,0.2469918063745215
A00059845,0.9896878825949262,0.0,0.2956472059309402
A00028185,0.9846081783547167,0.0,0.644319430961024
A00037511,0.989407577456636,0.0,0.5542557263896959
A00057372,0.9874851432110752,0.0,0.6005396590847183
A00062282,0.9874818075545636,0.0,0.5560763283771493
A00061711,0.9877492256804857,0.0,0.48125540655998167
A00057444,0.9881298571724064,0.0,0.3882633373147848
A00055446,0.9901902871838982,0.0,0.34305380396115404
A00040193,0.9911396072129391,0.0,0.2967060019887535
A00062942,0.9909458281461924,0.0,0.32018563227451546
A00050940,0.9883119528498967,0.0,0.529249364349205
A00056452,0.989889748992156,0.0,0.3261450421347952
A00040623,0.9884977073519455,0.0,0.4129994634150991
A00061806,0.9857980095949754,0.0,0.5682124633679699
A00059344,0.9879756569162452,0.0,0.5054693051044546
A00063368,0.9866006355433466,0.0,0.4350425866805964
A00055763,0.9880089081323253,0.0,0.343423857117645
A00043299,0.9918274122847859,0.0,0.21377660074540175
A00053455,0.9918624782655641,0.0,0.24472240616923596
Mean,0.988875509582018,0.0,0.41518698972950446
Std,0.0019231365952718734,0.0,0.12877951648484404
25th Percentile,0.9874851432110752,0.0,0.2967060019887535
50th Percentile,0.9884977073519455,0.0,0.4129994634150991
75th Percentile,0.9908062291186579,0.0,0.529249364349205
