id,BRAIN_dice,BRAIN_haus95,BRAIN_avg_surf
A00060407,0.9878218609726779,0.0,0.657803334807923
A00037848,0.9873740636774635,0.0,0.4201728031711409
A00058952,0.9892886693578717,0.0,0.44477044744245503
A00033747,0.9910613901986024,0.0,0.27517605004779955
A00060430,0.9889556364664006,0.0,0.2906585209402197
A00040628,0.9908297335292627,0.0,0.25278766754692533
A00059845,0.9898242243624062,0.0,0.29081535124196417
A00028185,0.9846020772443106,0.0,0.6161039117731492
A00037511,0.9898824825496709,0.0,0.5754240480218329
A00057372,0.9864744371801477,0.0,0.5655993233229923
A00062282,0.9883294317122572,0.0,0.5940936923091443
A00061711,0.9878043147999386,0.0,0.484507513026637
A00057444,0.9869252017548611,0.0,0.45369275979476625
A00055446,0.9887326733525958,0.0,0.38547174229883474
A00040193,0.9898440690745725,0.0,0.2969073334986938
A00062942,0.990111705304117,0.0,0.34618007929483574
A00050940,0.9877895870068576,0.0,0.42686065111760774
A00056452,0.9895177847217297,0.0,0.32074640128966436
A00040623,0.9880799725120483,0.0,0.36581949858629914
A00061806,0.9867388316092082,0.0,0.5268626567259879
A00059344,0.9881111317970227,0.0,0.5161734500890487
A00063368,0.9860544122970677,0.0,0.5156489457342099
A00055763,0.9861430138971177,0.0,0.413214848599164
A00043299,0.990820329890834,0.0,0.28336278711418716
A00053455,0.9900863922384376,0.0,0.40374892517028427
Mean,0.9884481371002992,0.0,0.4289041097186307
Std,0.0016649080842996258,0.0,0.1166835315211031
25th Percentile,0.9873740636774635,0.0,0.32074640128966436
50th Percentile,0.9883294317122572,0.0,0.4201728031711409
75th Percentile,0.9898440690745725,0.0,0.5161734500890487
